countytown,ctytwnhanzi,qingmei,mangguo,shizi,yezi,wendaili,maogugan,longyan,tianmitao,xiangjiao,lizhi,fengli,fanqie,gaojieli,li,hailigan,tonggan,fanlizhi,wendanyou,xigua,yinduzao,mugua,ningmeng,liucheng,putao,lianwu,pipa,jingan,putaoyou,laoli,tiangua,fanshiliu,yangtao,penggan,shuimitao
tainanshidaneiqu,臺南市大內區,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,12,0,0,0,0,0,9,0,0,0,0,0
yunlinxiandouliushi,雲林縣斗六市,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taidongxiandonghexiang,臺東縣東河鄉,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianwanluanxiang,屏東縣萬巒鄉,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
hualianxianruisuixiang,花蓮縣瑞穗鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxianpuxinxiang,彰化縣埔心鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
pingdongxianyanpuxiang,屏東縣鹽埔鄉,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
taidongxianyanpingxiang,臺東縣延平鄉,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxiandacunxiang,彰化縣大村鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
yilanxiandongshanxiang,宜蘭縣冬山鄉,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
nantouxianzhushanzhen,南投縣竹山鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
pingdongxiangaoshuxiang,屏東縣高樹鄉,0,6,0,7,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,12,12,9,0,0,12,0,0,0,0,0,0,0,0,0
yunlinxiandounanzhen,雲林縣斗南鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
tainanshiguirenqu,臺南市歸仁區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nantouxianshuilixiang,南投縣水里鄉,5,0,0,0,0,2,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
nantouxianrenaixiang,南投縣仁愛鄉,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
